03CE3809,09RN3844,12 LM2566,96KK 4588,02 SO 3008,03 CE 368,11CN43,08 TN 7223,
03SO 830,03 CN 8355,01G1872,93RN 3235,93 KK4566,00TN4528,93 G 4932,08 RN 6484,
91LM9147,96 RN3329,03MH 1962,00WX8789,96 TS6918,99 D6661,91G5551,08LK 7945,
92 MN 755,00 CN2941,01 WW 8893,04D 7166,99 LM9355,98 MH4733,94 G 4634,92MO6641,
93 LD 8390,11 LD 65,04 DL485,97CN 6896,96KK 2985,92 G 453,93 LS8313,11 OY1088,
06W 2950,05 DL 8507,91 DL7615,00 WH7677,11 SO 7203,11C 9274,99 LD 2580,93G 5790,
12 LM 7874,00WH2410,93RN4320,12KK 2999,02 KK 7741,00CW 6716,91 DL 6242,96 CN9267,
08 RN6838,98LM 4621,99WD 1011,04 TN 1343,99 MH5310,06 D1739,07RN2120,04 RN 9014,
90 WH 9963,91KY5830,02OY1654,0 8321,98 KY1292,95C 181,05 CE 8532,92KY 7046,
94LK6234,10WW 8682,94L 8213,91RN 4651,01 RN9430,95LK 3762,04L 5657,97 SO2145,
12KE2306,96MO3671,09 MN8190,10 KE7344,01 LS4946,02 LH 2661,97 W3825,93 WD7458,
94OY 431,04CN 6029,08W3572,98 G 3988,11 LM 5048,06 W2175,08WH 3328,07 W4565,
02D 652,91 G5405,03TN 2011,03KE 2507,10WX 7258,09W6470,95MO 7803,09 RN7652,
05 TN5006,07KY2571,95DL 3561,12 MO1291,06 G 4523,09 OY4931,96 KE5774,06 CN 3935,
01LS3900,94 LD9911,04CN 8782,90TS7058,10LS 8533,08 MN 9116,98 WX7400,91RN 8945,
91WX7362,93WH4970,98 CE6541,08RN 360,00 D5215,96MN 825,01 D 6028,04CN 7831,
96WH 6378,11WH 8797,92 G2321,94 MN 1080,07 LS8819,02 SO4290,06 L 6600,98 RN 6294,
07 KY 1985,91SO 3358,05 LS 368,96 WD 8840,02 D3582,06MN 7996,08TS 5490,10 D 7296,
08WH 2339,11CW 4763,96 LS5496,98 WH5676,95 TN4366,02LD 4142,12MN 8846,92W2178,
04 LS 436,92 SO1585,04TN 2856,06 MO867,08RN 262,02 WX 6234,00WX9007,08DL 7304,
92 SO7689,07 DL9997,10WH 6505,06 LS 321,11CN7569,99 CW7851,94DL1051,94 MH9892,
02 LK1064,99LM 23,05CE 94,04 WH 65366,97CE1122,91 WX 8054,95RN 4065,04 WX 9137,
08MN3944,04MO9620,93LH 5481,07 CN 8370,96CW 5387,98 LS1475,01 LS 4199,11KE 1270,
92MO 3455,07 RN5893,03KE7610,11 RE5031,01 DL9293,95W 3577,07 KY9065,10TN 9686,
00MO9408,99D5157,04WH6461,91W5748,03LK1232,04 LH 4099,97L5566,03 DL3792,
04LH2594,02WD6140,93 L 9391,91WH955,06WX3174,10 MH 4193,03 MN5716,98 LD2652,
95 DL 2582,95MH3059,97KK9706,02CE7778,93KK5344,04 RN 5264,04 KK7524,91KE 2141,
06 CE7763,04 TS 7845,05KY9750,97DL 7932,90CE5413,12 SO13,96CN519,99D6668,
03 CE 2796,98 LH3259,01 D 9370,00 CE 9200,06G8632,91 RN8695,95 WD7963,07WH 9148,
03LK 1167,05KE1175,06OY 3046,94 D 5421,08RN7874,03DL 6109,07W361,93LS5338,
92TN 3070,11 CN 2765,03MO1522,01TS 2332,97MO5006,95WH 7306,98 KE 7298,91 D1163,
00C1275,94 LS 9870,01 RN6257,04LK9170,04TN7567,96TN 2549,11LS 7204,11RN 4186,
09 KE 204,97D 9294,03TN 7516,07 CN8410,09 CE 7167,01OY 4506,06KE7095,06 LD 2832,
00CE5900,95 DL 4282,92 KY 9408,93MH8514,02KK8566,02 KK3213,09KY 6879,07 WX 9516,
93W7086,95G9952,07 L7722,92D7087,92 LK 889,90CN 6784,91CN 5283,09 LS6298,
08CE 5,02 KY1929,02 LK8842,94WD 4321,04KE 4895,92TS 8404,06 LS6979,97 MN 4197,
06DL 2240,98 KE9935,95OY 599,08CN9091 ,97LD 2773,98 LD2590,99 LK 2978,10TN9809,
00TN3219,99 CE 610,03 G 8346,10 WH2621,12 L 9393,01 MN6245,95KK8857,08 W5347,
91MH1581,12LK6292,04 LD2117,95MH 7057,97MH 6471,99LK2501,10DL7903,00DL 743,
97 LH 2107,94D 9051,98LM 3134,91WD8883,94 MH3567,00 OY 7866,03LS 8723,99MO 8944,
05TS 7420,11 DL 1707,98 CN547,93 SO 9513,93 KY2400,00L 5680,97 KK 9414,04DL8042,
98 D 2140,10LK 91,91 MN1673,10 WW 7971,07 LM 3395,06KK1383,98 CN2844,01 RN 6348,
93W9678,07 LM 3333,01 MH1585,05 SO3039,95MH5916,04 G7618,06TN125,97CE 9071,
96 MH 4406,08 L1400,07 SO 366,91KY4744,09 G 6137,01 RN 9657,03DL1843,06 G7726,
98MN 4333,04 SO 1663,04MN8836,03 LH7582,93MO 8982,09LS 4174,07 RN9126,01CW 5879,
02MH 2051,06 MH 8748,10 DL6089,06 SO 344,03G3100,02OY6857,03KY9102,99 LS7411,
94 SO 4092,99 DL4429,03 MO 4648,94WX9944,06TS 297,01G 6891,08W 1829,08 SO5880,
06 WW 1429,99LS 6807,93WW1570,11 WH9126,05 G 3387,02W 8792,02 WH 8269,12WH 6158,
00 RN 6291,04 L 559,09 LK6299,06 D425,91KK 8908,98MN4618,95TS1378,05TS1947,
08CE3000,11 RN 2489,02 KK8627,01 LD 1272,92DL 3627,99LH2057,00 WH4860,95LD 5321,
06 MO 3024,92MH9156,96 OY2532,11 SO 7632,05 CW 6307,11 TS 6405,92TN 6693,94SO 6923,
05 WH6938,11 CE 5830,06 LM4261,01 DL 6047,05SO8670,09 LS 6941,07 WD6965,06 WD 7947,
90LS 8492,90 CW 8528,94WX5444,92WZ 6463,96 TN 1990,06CE698,12 OY2101,93 CE 7542,
07MN8476,08 LS 3408,09MH 4586,91 CW 745,10KK8276,07 MH 9147,04 D62,03L1774,
94D8584,93 TS 247,90MN 2730,09G4236,01LD 7495,01MN5813,05MO3565,97LS 2765,
96G 7968,06 LD 9298,01 RN1631,95 LM 272,99 CN4759,10WH5289,09 KE 921,07 W 9156,
06 LS7680,02OY3254,92 G 5266,08 MO9999,01LH3934,10MN6715,98 MH6526,90 OY1528,
03 KK691,12 TS 8580,91 MO 7973,90KE 2417,95 KK 6627,99C 7178,94 TN5621,00CW8891,
10 WH 7688,03 MN3002,08D 5066,97TN1995,01 MO 7974,02 LD 3069,96 LH 339,96G 4912,
11CN1356,06L 8362,91WH4237,92LS 3770,03 KE3189,06 W 9901,97 LH6660,95CW 4972,
94LH 4300,03CW 639,04CE8563,03MO8292,10CE1317,99 MO 3587,05 OY 4309,01 L 7720,
03G8362,93LD1367,08 DL4440,96C1313,94CW5135,94 KY 8691,04 WX 4174,97L 7241,
01 CW5474,09 KY7223,10 WD 266,95 LD 5584,03 DL8644,93LH 1668,03 TS335,07LK 4466,
94 MO 2771,94 LS7039,07 RN4189,06LH 4671,96WD 6105,10 LD9579,03CE6245,97 WX 8971,
96LM7154,08WD7987,95 KY1750,06 D1142,96MH 9047,98MH 7321,95 OY 7152,08 LH 4787,
02CE6999,05 LK5208,04DL 6727,04 TS4029,04G223,04 MH 8840,92 RN3329,96LH 6353,
01LK1202,99DL1634,03LM 1013,97MN2943,08 KE5920,05 D380,91C1175,07 KY 3260,
00 KY8255,05 DL 7269,98 DL 1839,01G 8715,97 KK610,93WX6227,95 OY1770,94 KY 4894,
10 D 566,08L 9673,03L7172,01 LK2961,04MO 345,95 LD8,07 SO8940,94 WW 8637,
04MO1686,07MO9925,03LS2599,12LK 1441,07KY 3879,00 MO6995,99 G1420,06 TN7738,
99KY6670,91TN803,01 RN 5519,04CN8609,95 LM2942,11MO5486,00 SO6159,10 MN 7499,
91 MH8255,95LD6455,05RN4975,00 L3215,00LS5604,07TN7710,04 CW2368,08 LM901,
97MH4035,09 KY 5317,95OY7922,09 MO7364,96 KY9204,97 OY3304,11WH8360,06 LK 7313,
04 WD2359,11DL521,02 RN5285,11 LD 3909,07 KY 1758,94 SO855,92CE 5758,08D 406,
05 LK 7119,92WD 4568,08MN 3586,97 LM9543,02L 3304,92 WX5518,06WX 8143,97LM3911,
03CN 4149,08 D 7520,96 TN 505,07LD3504,07 KK 1139,93 L3215,01 W 3717,07LS6351,
11 CW 4395,10WH456,08 WH 5154,96  LH 4247,94LS 5373,93OY 4422,91LM 4031,92 KE8383,
94 WH1598,97 KK 8472,12CN6421,91TS8982,11LD 3766,00WH3061,91 RN3383,05OY 8879,
09L 4641,95KY9962,94 DL 5171,99 LS 3466,00 W 7271,03 KK8490,03CE 5918,01 KY8381,
91 RN7284,09DL1449,96DL8648,11LH1899,99LH256,94 LH 1115,11OY34,96 CE1065,
97LK 472,04 W 9721,91 KE 7893,08L9357,91 WD1817,96 W4615,93 WD 2131,92 LK8837,
11 LH 4905,99 CE 5535,91 TN 1486,04 W1605,97LS 7166,01KY308,01LS4315,95 LK3716,
10 LS 4086,95 LD5633,97 LH1450,99 W 9678,90 LD503,01 KY1638,90 CE 3081,91L7099,
08LK514,98 LK2342,94LH 9629,96WD 9145,05 KK 3334,05WD9326,07 OY8578,02LD7089,
99G 244,01MH2511,03LK5357,06D 6386,96 WQ 4689,96 KK161,00 LK 6523,01 LD7475,
94LH3489,98 CE 42,91 MN7740,08 D6816,10 D 2168,94 CE 4950,10 MO7309,99KK 4523,
01L1473,12 D8770,98D8383,03D 2403,99 LD 5268,03LD 3654,03 MO 9416,01 MH 200,
97 TN 2223,11MO4960,91LS2859,93 OY8382,11 LM 4938,11L 8174,91LK6663,03 KK2973,
92 TN497,02 WH1162,99D 1766,07KY 1543,93MH 5807,94TN 5850,07CE 1384,98MN9802,
94 CE 9545,94 TS5696,98 MH4671,99 D 4966,11CE 27,01WX 9123,09 LH8103,12LS 5477,
95 CE4896,92 KK4530,97 MH2780,06 KY6605,03KK4172,05CW9425,91MH4774,10SO 7905,
04 WH2866,97 WH4780,95 LM8630,92LS1592,06 LD 3163,90MH 5753,03LK 1142,04WH 524,
12 LD 8986,99KE 1627,97 L3657,97 DL634,03 KY7620,07CE974,98 D 6327,96 WD5421,
91 MN 4045,95 CW 2879,05 CN 6925,00 MO9408,01 MH3635,91G 1345,05WX 174,96LD 3339,
95 RN 7934,96 G7953,01 MN 861,90WX63296,08 TN 6375,93 WH7268,00DL 5442,94 LM9170,
02 CW3998,12 CE534,04 DL 2305,06 L 8555,07 RN 1477,05 KY 5784,95TS 423,08 KE 4085,
97LM 9090,06 KE6646,06WH 9703,98 TS8643,03 MO678,98 W 7809,12 WX4037,93CE 7921,
09KK 7014,92 OY 2440,12 CW 9751,95L6714,00CE626,11 KK 5632,08WD7984,08MN7975,
06WW 5558,99CE8398,03G 9325,01 KY5522,08 KK6311,94 LM 8666,94L3027,09 LH 2823,
00 C9812,93SO 9264,97 WW 1006,92 LS 8308,00 OY 3070,05LS 7981,10 KE 8966,08 SO 2300,
01 L 6975,96 LH1423,04WX 3022,90 LM1819,07 MN3605,93 WX 2605,97G 388,10 WX7277,
11LM 319,05 D 2002,05WH6942,06CN9374,00 LH8959,08CW3110,12LH2740,98 W5371,
06 OY2539,99L 6455,08 W 8915,10WW41579,00 SO 4912,03 RN504,99 TS 5830,96 WW 1206,
93LS1169,08 CN3874,09 WW 2801,95LD3097,08 LS 7701,93 MH 911,98 D4285,95 CW2377,
91RN1245,92 TN1794,91MN5992,90MN 2243,93 SO5568,11 WD 9065,97LS 7074,93 KY 4739,
01 WX2943,94G 4758,08MN 1267,96 LM1003,97 KE 5026,94 MO 6124,92TS640,92 WH 3152,
02MO 4357,10TN3377,95 LH477,95 MH128,08MH3324,97 DL 9805,10D 2723,07 LK6320,
98 TS2125,98 LM 3169,06 MO 8399,90 CW4830,95 MN 1039,07WD 7351,99CN 6450,04 LS 6860,
93CW5105,93 MN4907,96TS 7569,04 WX 4918,92CW 1251,95CN4343,93 RN 6740,08WH221,
95 MO 8782,97 CT 767,04 KE7418,01 G 4044,06TN4237,93LM 4855,05SO 3625,92WD8597,
04CW 609,01CN3001,99 LK 3528,93MO5440,97TS9131,92 DL 971,07RN9526,95MH8469,
08OY8979,92RN 4413,98 CN5336,94TN4038,08TN6511,03 W 2158,04MN89,03 TS2897,
09CN1023,08 RN2393,09W 3101,90LS7347,08 SO 8320,03 KE 7519,95 W 603,05WD 2199,
07 L6916,97 KE 758,09KK7447,03 SO 9977,12 MN 4122,10 CN6421,98 G 2635,10 MH 9162,
90CN916,11 L6168,00 KE 7320,08G9183,91 TS5080,99 SO 5509,08 LS 7887,09LS 7400,
95WD1793,96 CW8373,00 KK4663,05OY1326,07 W9649,10 TN2620,92CE8888,09KY4003,
92TN7876,93 MN 6039,06 MN6636,92LH 1611,06DL 7400,07G594,02CW 8580,99 MH 102,
04KY 4398,03 G2424,12WD8704,04 D2021,93 WH 9926,95LS 6499,94 RN 3358,11 LH5492,
95C 3334,93LM7656,12MN 4408,94CW 4791,98 TS 290,01 LM4282,09 CE 6651,96KK5946,
11 CE 8430,95D6872,10 CW140,94WX 1327,00LD4937,06KY1327,11RN 2601,93LS4333,
01TN623,10KY 5966,92KK5746,06 SO8949,96L4541,92 MN 1968,94 WD 1920,02 KE9201,
95 D 1537,08 WD 9226,00W 4279,02SO 340,99 WX2705,01KK 3431,95 KY4483,94 KK6942,
95W5259,98D5597,06RN 6707,07 MN 3081,93 C 3981,07WW2231,01CW5746,04KE6168,
02MO 1090,06LS 2831,05W9919,92KY9162,06 WD5149,07CE 1526,97LS 6540,91DL5446,
07DL 2452,94CW1297,01LS 8834,96LH6842,93 SO6190,10 D2436,96 MH 8321,96MN 8010,
93 SO 9677,97 W1688,02 MN5938,01 TS9746,05SO9917,01CE 4833,93LK8449,91SO 9592,
99KE 6838,93KY 3399,10 D4062,09 RN589,03 RN1698,05LH 5619,11CW2556,02 WD 7999,
10 KY5336,07 RN2824,11 MN742,97 KK9391,11W 3204,04KK 4984,95 KK 3587,10 TS 5574,
93 WD 9443,92 TN 3334,91LD4954,07KY 8589,96RN 6662,95 WH3665,06CN9570,99 MO 8169,
03 WW 1490,95G1194,08LK9565,07G9911,97TN8527,92LD6714,10 MO 4702,09MN6768,
98 W 6874,09 WW 4176,01 KE5311,00 KY398,09 WX 4021,94 RN1768,98 WW 796,96 WD388,
96KK 1635,01W 2124,09MH 4621,08KE 7467,07MN 6505,05 KE 2350,04D8687,98 KK1390,
95LD7728,05WD 1232,08 DL 6118,99 MN5390,03CN 8114,90 G 9187,09WW1660,96 CE 6842,
06 G 3743,95LH 6292,06 KE 3103,05KK 8062,03MH 592,98 DL 5079,02 LM5444,12MO 2057,
03 G1239,92LS 7668,90 TN 1850,11 MH5467,04 CW 7795,98 WX1291,94LS 1892,97LD4937,
04 G9387,96 TN 2253,08 TS 8036,90 LD 3696,00WH3792,06KY6015,03LK 5861,07 LK 2273,
10 KK 3143,95 KY174,92 TS2121,92 LH921,09CE 3008,94KK 7883,11TN 7416,07KK 1608,
92 DL2601,11 LK1493,97 WX6988,99 D 4194,04MO 1363,11WH46,99 KY3885,91LS 4822,
11OY3775,09D 9667,94RN3695,12TS4464,94CE 9846,01MN2830,04LS8857,00LM 2050,
08 DL 3460,95KE1031,07 CW3619,07CW 9687,96D4478,97 OY5476,11 L 7698,98LM 7078,
04MN 3390,09 LH2041,04CN7843,95 WD8421,01 KY9088,97LS 9966,07KK 1634,08 MN7854,
99 CW 1393,05KY8560,99WH7094,95 DL 8771,00 RN9880,05 RN2455,97D4995,94 WW 8228,
07 LS 9710,94LD 3939,01 KK8050,94MN 93,95 CN 3206,09MN 296,96 LK2670,95 KE 9570,
10 C 3218,07 MN5123,98CW 4344,97MH7312,98 LD504,07CW 5195,00KE 7361,07L3406,
94 CN2699,93 TS 8587,09MN 3077,91 WH 269,92 LH6851,97WD5476,10LK8693,93 SO 8669,
10 KK905,08 OY 323,12C172,96 LS 2935,95CN 2070,94 TS2980,97 CN 8755,94MH9750,
03LK 1563,91CN6647,92LK 372,03 TS9923,07TN5825,02CN2599,98MH 1147,09LH 3930,
08RN 4063,07MN5089,96 SO 220,06 LK 157,03 KE676,01CW4959,12CN3090,93WH9364,
08 MO8979,91 CE 7118,01 LM4832,10CN 61,07L 9512,01MH 5255,11LH 2692,11DL 7234,
97 LH 2160,97 TS 6961,06 D 1783,96G 1204,90 KE 6335,98 KY 3738,05 CW 5914,11CE4198,
92 LS 7549,03 OY 3278,11 LS 7926,96 KY 9727,98MN1803,03CN 5888,08RN323,94 C3782,
04 KY1461,02 LD 2933,91WX 7474,94G 7475,08LM7518,92KE2747,91 KE5201,11 LD 7840,
91LD3480,95WH8657,91 CW2153,09 RN7194,94 L5481,07WD4442,93RN 74,97 LS 1715,
04TS 1701,07SO 4815,07 G 6745,92KY 6684,04 C1655,00 D2406,04 LS 6233,94MN9228,
92LM2492,95 LH8063,95RN5864,07MN9298,99OY5101,01LD 8289,10 WD 8330,92 MO6154,
99WD 7478,97TN2153,91 MH 251,95 G 653,00KE 6617,06SO83,02 G 5591,05 WH 3268,
96 MH2951,03 RN 8627,98 TS 3434,03 G 3947,99G 3329,98 LH8457,91OY 4749,01 D2656,
93L 9377,10 W7675,91WX 2072,06 LD8774,06 LS8180,01KE8826,98 KK 9244,05 WX 3368,
93 CE1231,99 CE 5906,92MO5779,09WX71972,11 LD5769,07 G 7137,09WD 1770,09 LS 5082,
06RN 9816,08WX287,06KY4789,98KY2149,92WW 8462,11KY9904,05 CW 9739,10LK 894,
06C 4298,12 WH 16,95 LH 6234,01 WW5057,93 LD9261,96LH1487,06 LH5731,01KK 2875,
08 WH8623,05KY 590,97 L 2405,00G 3366,93 OY 332,03D 4120,10DL7497,06WH6525,
90 CE 4528,03CE 6802,97 LK 6773,97 LM 9547,99MN 8661,07KY 8715,98 CE 4593,91 KK 2759,
99 WX3339,00DL3962,10LM6121,08 W 6964,02LK2799,04 G 6921,95 OY1207,06WD8543,
10 MH1743,93WH9057,03 LM9589,94 WH9802,03WD7090,02 LH7468,92OY7254,94 WD 9848,
01 CW 9242,07G6155,11 D 7963,99OY 5552,98 WH2387,00 LD 2300,03 MH 2317,08CN3013,
03D7478,93 KE2766,08 LK 9021,93 CE 7426,92 MH4663,91CE 491,08LS 9476,02LH3174,
07 KY 4111,95W 6447,04LS7260,07 MO6587,11 KK 5468,97 MO 477,95 LM8640,02G895,
10CE 6478,10LM 3402,06KY 8830,10WX6569,10 WD699,01 KE3583,96 CW1406,97LD 615,
09 C 2695,05 MN 3323,06 LS4976,93 WX 4831,06CN 6587,95 WW 4379,08TS 2049,93 SO 7062,
90LK415,08MN7251,05WH9835,05L 8632,91 RN 4401,01DL5850,94 LM 1699,07WD8256,
95 CW 5931,98 WD7699,97 OY888,98D5453,02C7756,95 KY9906,02LM5274,99 LH 6238,
99 KY 8831,09RN2789,09LM2892,04 WX9986,00C 9018,94D 6234,03 RN 3250,12CW 9155,
02 LK9874,99 CW8690,11 KE8622,02CN2814,93 LM 3726,07CN4985,05C 2815,00 L842,
94MO2320,98CE7079,90 KE2230,04 OY8053,00CW 4477,96 LD 1338,04 G5518,99MO 6518,
95LS9362,06G 6908,00 MH3542,03KY9898,92LS 8237,01KK 2407,06LM 935,05D 5750,
96LM2917,10 WX 2226,08MH4134,95WX404,11 MN3498,92WW 9537,02 TN8457,95 KE6296,
90L1398,91 LH307,04CW 8475,94M,08RN 6245,03WH 1469,96 LK 1769,06 RN 4976,
96 LM 6731,99TS6858,11L5986,04OY 208O,09TS6179,97 OY6389,93 G 3050,11 WW 4195,
04CN 3268,93 MH 7555,02 KY 2312,09KE 9614,12 LD 7122,08 CE3388,03 KE6534,07WH5257,
00 W 3798,99LK7655,94 DL 651,98LH 6069,95L8070,99 KK 6310,96SO3434,90DL2096,
92 LD382,97L 3967,02 CE6436,05 L5614,98 OY 3834,10CW5517,91CN 2838,92 WD1562,
03 TN154,01C 5910,02 D 1216,11CN1943,09 RN 6706,11 D 5570,00WW5643,08 MO8891,
95MH8840,92 MN4950,06 KY 4023,98KK1605,02 WW 3101,06WD 9339,99 LM 1084,05 KK9504,
07 D7146,94 TN4134,98 WX1086,07WW 7661,04KK 1629,90 TN1551,08LH7940,98 OY 740,
00 W7730,91 C2013,96KK 7176,93C8552,97G1523,11C7263,99LM 4986,12DL 9684,
10 TN 2962,02DL 7695,98LS 4425,99LD9540,93 LD2886,10WX 3312,95 DL 7755,06LD5722,
10 WD6142,02DL 6291,01 D6927,11 KY 6638,97 DL2693,93LS3193,90 RN1186,02TS8924,
98 D1393,98TN6504,00 LM1951,07 KY5382,06 MO2996,95RN 8430,94 MN226,08 RN7930,
97 W9918,04 D4632,92KE 1077,04 G9345,05 SO 279,04LS1901,99TS2960,09G3439,
02 WX2813,98 LK1731,92KE 7081,08 WD5770,01 LH7401,94 TS 1147,03DL3334,94W 5953,
96 LD3130,00WH3205,96 MN4894,95 LS 8207,91WH 2087,10RN 2180,97 LK 3043,91LH 8903,
93TS2396,06RN 2568,04 MN7434,01DL8531,06LS8391,98KK 6778,96W4653,90L 785,
06MN 9272,92 WH 3655,09WD9666,91LH3233,00CE 100,99WX8790,96D 541,05MN2445,
98 CW552,03TS 8022,99 MH6675,04C 1357,98 WH 7504,07KK7445,02CN4689,94 MN 8147,
00 LK 7195,06CN6800,02 KY4098,08 TS3978,00 OY 1491,11 SO 8193,92LS 6953,07 CN 1548,
99TN 593,12 LM8760,06LK1720,93 WD7591,07D1405,12 G 4067,97KK1826,03 WD223,
08 KK6754,06WD 8856,06CW3564,98W6298,99 OY5615,92 LS 3075,96WD 6297,09MO4865,
97 KE 8622,07 LK3981,93 OY287,94 MO 184,99 DL 6240,90SO9654,98RN 3873,98KE 1804,
05 CW 9192,98 LH 5216,08 KY 2211,91 LK 9749,03D1977,97 L655,09CE4321,00 LM9954,
93LD658,10 OY 8327,06 W3800,08WW 8803,99 CW 5469,12MN 8896,96 CN 1213,01KK 5858,
96 MO7246,08CE 6752,91OY2915,08 MO 669,07 CW 4176,02KY9790,09CW1839,08DL 2921,
08 LS 1972,08MN 3850,04LS 649,02 D 5121,01 RN 6170,08DL 9028,96DL 6554,96 KE 3503,
08DL 9976,09W 3670,01W87,01WH 5906,94 LS4826,05 OY 1867,97WW7148,98MH4977,
92 MH3666,09 RN 1992,91 TN 4789,96 CN 1251,03 KE 8827,95 L6988,08 TS 6279,95 W3398,
97 L 7332,08KY 1897,96 KE 331,98 KK 2227,97RN6454,12LS 475,91W 2566,93 WD915,
92 KE1464,99LM 630,04 WH 4710,96 CN6360,09LM5588,97SO7871,96 KY 8399,07LS5549,
